code,term
394659003,Acute coronary syndrome
401303003,Acute ST segment elevation myocardial infarction
401314000,Acute non-ST segment elevation myocardial infarction
4557003,Preinfarction syndrome
233819005,Stable angina
49436004,Atrial fibrillation
6456007,Supraventricular tachycardia
49982000,Multifocal atrial tachycardia
25569003,Ventricular tachycardia
29717002,Premature beats
270492004,First degree atrioventricular block
54016002,Mobitz type I incomplete atrioventricular block
28189009,Mobitz type II atrioventricular block
27885002,Complete atrioventricular block
59118001,Right bundle branch block
63467002,Left bundle branch block
74021003,Bifascicular block
86014007,Trifascicular block
418341009,Atrioventricular conduction disorder
36083008,Sick sinus syndrome
195060002,Ventricular pre-excitation
418818005,Brugada syndrome
9651007,Long QT syndrome
44808001,Conduction disorder of the heart
410429000,Cardiac arrest
368009,Heart valve disorder
3238004,Pericarditis
373945007,Pericardial effusion
85898001,Cardiomyopathy
56819008,Endocarditis
50920009,Myocarditis
28651003,Orthostatic hypotension
85232009,Left heart failure
367363000,Right ventricular failure
42343007,Congestive heart failure
84114007,Heart failure
38341003,Hypertension
70272006,Malignant hypertension
70995007,Pulmonary hypertension
371073003,Postural orthostatic tachycardia syndrome
233985008,Abdominal aortic aneurysm
195268001,Leaking abdominal aortic aneurysm
308546005,Dissection of aorta
720626009,Dissection of carotid artery
230730001,Dissection of vertebral artery
307322002,Rupture radial artery
234000009,Dissection of femoral artery
433068007,Aneurysm of thoracic aorta
824031000000109,Leaking thoracic aortic aneurysm
72866009,Varicose veins of lower extremity
233981004,Arterial aneurysm
128053003,Deep venous thrombosis
59282003,Pulmonary embolism
40283005,Thrombophlebitis of superficial veins of lower extremity
400047006,Peripheral vascular disease
233961000,Lower limb ischaemia
233959009,Upper limb ischaemia
266262004,Arterial embolus and thrombosis
63363004,Superior vena cava syndrome
3305006,Disorder of lymphatic vessel
234097001,Lymphoedema
17709002,Bleeding oesophageal varices
44897000,Mesenteric lymphadenitis
230690007,Stroke
21454007,Subarachnoid haemorrhage
274100004,Cerebral haemorrhage
297157005,Thrombus of intracranial vein
31996006,Vasculitis
