code,term
128053003,Deep venous thrombosis
17709002,Bleeding esophageal varices
195060002,Ventricular pre-excitation
195268001,Leaking abdominal aortic aneurysm
21454007,Subarachnoid intracranial hemorrhage
230690007,Cerebrovascular accident
230730001,Dissection of vertebral artery
233819005,Stable angina
233959009,Upper limb ischemia
233961000,Lower limb ischemia
233981004,Arterial aneurysm
233985008,Abdominal aortic aneurysm
234000009,Dissection of femoral artery
234097001,Lymphedema
25569003,Ventricular tachycardia
266262004,Arterial embolus and thrombosis
270492004,First degree atrioventricular block
274100004,Cerebral hemorrhage
27885002,Complete atrioventricular block
28189009,Mobitz type II atrioventricular block
28651003,Orthostatic hypotension
297157005,Thrombus of intracranial vein
29717002,Premature beats
307322002,Rupture radial artery
308546005,Dissection of aorta
31996006,Vasculitis
3238004,Pericarditis
3305006,Disorder of lymphatic vessel
36083008,Sick sinus syndrome
367363000,Right ventricular failure
368009,Heart valve disorder
371073003,Postural orthostatic tachycardia syndrome
373945007,Pericardial effusion
38341003,"Hypertensive disorder, systemic arterial"
394659003,Acute coronary syndrome
400047006,Peripheral vascular disease
401303003,Acute ST segment elevation myocardial infarction
401314000,Acute non-ST segment elevation myocardial infarction
40283005,Thrombophlebitis of superficial veins of lower extremity
410429000,Cardiac arrest
418341009,Atrioventricular conduction disorder
418818005,Brugada syndrome
42343007,Congestive heart failure
433068007,Aneurysm of thoracic aorta
44808001,Conduction disorder of the heart
44897000,Mesenteric lymphadenitis
4557003,Preinfarction syndrome
49436004,Atrial fibrillation
49982000,Multifocal atrial tachycardia
50920009,Myocarditis
54016002,Mobitz type I incomplete atrioventricular block
56819008,Endocarditis
59118001,Right bundle branch block
59282003,Pulmonary embolism
63363004,Superior vena cava syndrome
63467002,Left bundle branch block
6456007,Supraventricular tachycardia
70272006,Malignant hypertension
70995007,Pulmonary hypertension
720626009,Dissection of carotid artery
72866009,Varicose veins of lower extremity
74021003,Bifascicular block
824031000000109,Leaking thoracic aortic aneurysm
84114007,Heart failure
85232009,Left ventricular failure
85898001,Cardiomyopathy
86014007,Trifascicular block
9651007,Long QT syndrome
